Injury Severity,Injury Severity Scale,Date,Time,Speed Limit,Weather,Driver At Fault,Surface Condition,Light,Traffic Control,Driver At Fault,Latitude,Longitude
SUSPECTED MINOR INJURY,2,12/29/2023,12:00:00 PM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.12357374,-77.231769
POSSIBLE INJURY,1,12/22/2023,01:00:00 PM,35,CLEAR,No,DRY,DAYLIGHT,,No,39.15907918,-77.16054149
FATAL INJURY,4,10/28/2023,12:15:00 PM,30,CLEAR,Yes,DRY,DAYLIGHT,YIELD SIGN,Yes,39.12246766,-76.92633791
SUSPECTED MINOR INJURY,2,07/05/2023,11:25:00 PM,35,CLEAR,Yes,DRY,DARK -- UNKNOWN LIGHTING,NO CONTROLS,Yes,39.15402111,-77.24973229
SUSPECTED MINOR INJURY,2,07/21/2023,01:15:00 AM,25,CLEAR,Yes,,DARK -- UNKNOWN LIGHTING,,Yes,39.05834333,-77.06013333
SUSPECTED SERIOUS INJURY,3,07/24/2023,04:45:00 PM,40,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.24855667,-77.23392733
SUSPECTED MINOR INJURY,2,07/26/2023,12:57:00 AM,25,CLEAR,Yes,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,Yes,39.04309175,-77.05200021
SUSPECTED MINOR INJURY,2,07/20/2023,09:25:00 AM,35,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.1117355,-76.92951733
POSSIBLE INJURY,1,07/21/2023,11:53:00 AM,35,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,38.966755,-77.105892
SUSPECTED MINOR INJURY,2,07/22/2023,06:28:00 AM,40,CLEAR,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.02691717,-77.0105285
POSSIBLE INJURY,1,07/20/2023,09:25:00 AM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.1117355,-76.92951733
POSSIBLE INJURY,1,07/13/2023,06:25:00 PM,35,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.198133,-77.2450765
POSSIBLE INJURY,1,07/18/2023,04:20:00 PM,35,CLEAR,Yes,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,39.03675667,-77.05116667
POSSIBLE INJURY,1,07/23/2023,05:03:00 PM,35,CLEAR,No,DRY,DAYLIGHT,NO CONTROLS,No,39.03069833,-76.98424667
POSSIBLE INJURY,1,07/23/2023,05:41:00 AM,40,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.05044387,-77.07356777
SUSPECTED MINOR INJURY,2,07/26/2023,12:57:00 AM,25,CLEAR,No,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,No,39.04309175,-77.05200021
FATAL INJURY,4,05/21/2023,03:04:00 PM,50,CLEAR,Yes,DRY,DAYLIGHT,,Yes,39.15305,-77.14161833
SUSPECTED MINOR INJURY,2,07/22/2023,04:07:00 AM,40,,No,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.07443097,-77.13564536
SUSPECTED MINOR INJURY,2,07/25/2023,09:57:00 PM,35,CLEAR,No,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,No,39.1190664,-77.1719867
SUSPECTED MINOR INJURY,2,07/13/2023,12:26:00 AM,45,CLEAR,Yes,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,Yes,39.0464,-76.986862
POSSIBLE INJURY,1,07/24/2023,02:58:00 PM,0,CLEAR,No,,DAYLIGHT,NO CONTROLS,No,39.18260333,-77.262615
POSSIBLE INJURY,1,07/13/2023,03:52:00 PM,30,CLOUDY,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.28785333,-77.20202833
POSSIBLE INJURY,1,07/23/2023,04:32:00 PM,25,CLEAR,No,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,39.06160167,-77.09221667
POSSIBLE INJURY,1,07/26/2023,12:47:00 PM,35,CLOUDY,Yes,DRY,DAYLIGHT,,Yes,39.04432,-77.06341
SUSPECTED MINOR INJURY,2,07/21/2023,05:25:00 AM,40,CLOUDY,Yes,WET,DAWN,NO CONTROLS,Yes,39.100845,-77.21498167
POSSIBLE INJURY,1,07/22/2023,11:00:00 PM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.08325452,-77.15625709
SUSPECTED SERIOUS INJURY,3,07/23/2023,01:10:00 AM,35,CLEAR,Yes,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,39.06901297,-77.07533162
POSSIBLE INJURY,1,07/17/2023,05:10:00 PM,30,CLOUDY,Yes,DRY,DAYLIGHT,NO CONTROLS,Yes,39.17597667,-77.118285
POSSIBLE INJURY,1,07/24/2023,07:37:00 AM,30,CLOUDY,No,WET,DAYLIGHT,TRAFFIC SIGNAL,No,39.26873833,-77.15196667
